,gateway_rssi,gateway_snr,node_rssi,node_snr,node_vcc,payload
2019-05-30 00:00:00,-52.66071428571427,0.0,-49.39285714285714,0.0,4993.428571428571,0.0
2019-05-30 00:05:00,-52.66037735849056,0.0,-49.320754716981135,0.0,4992.716981132077,0.0
2019-05-30 00:10:00,-52.65384615384614,0.0,-49.44230769230768,0.0,4994.153846153847,0.0
2019-05-30 00:15:00,-52.66666666666667,0.0,-49.44444444444445,0.0,4994.185185185185,0.0
2019-05-30 00:20:00,-52.57407407407407,0.0,-49.2962962962963,0.0,4996.222222222221,0.0
2019-05-30 00:25:00,-52.61538461538461,0.0,-49.403846153846146,0.0,4995.846153846152,0.0
2019-05-30 00:30:00,-52.57407407407406,0.0,-49.44444444444445,0.0,4994.592592592591,0.0
2019-05-30 00:35:00,-52.672727272727265,0.0,-49.41818181818181,0.0,4996.400000000001,0.0
2019-05-30 00:40:00,-52.76923076923078,0.0,-49.34615384615385,0.0,4995.423076923077,0.0
2019-05-30 00:45:00,-52.74545454545454,0.0,-49.47272727272727,0.0,4997.999999999999,0.0
2019-05-30 00:50:00,-52.61818181818182,0.0,-49.490909090909085,0.0,4993.2,0.0
2019-05-30 00:55:00,-52.62745098039216,0.0,-49.23529411764705,0.0,4994.352941176469,0.0
2019-05-30 01:00:00,-52.77358490566037,0.0,-49.396226415094354,0.0,4992.716981132078,0.0
2019-05-30 01:05:00,-52.62962962962962,0.0,-49.40740740740741,0.0,4992.9629629629635,0.0
2019-05-30 01:10:00,-52.673076923076934,0.0,-49.442307692307686,0.0,4995.000000000001,0.0
2019-05-30 01:15:00,-52.68518518518519,0.0,-49.222222222222236,0.0,4995.407407407409,0.0
2019-05-30 01:20:00,-52.592592592592595,0.0,-49.314814814814824,0.0,4992.148148148148,0.0
2019-05-30 01:25:00,-52.784313725490186,0.0,-49.29411764705882,0.0,4994.35294117647,0.0
2019-05-30 01:30:00,-52.563636363636355,0.0,-49.472727272727276,0.0,4993.200000000001,0.0
2019-05-30 01:35:00,-52.74999999999999,0.0,-49.5625,0.0,4993.624999999999,0.0
2019-05-30 01:50:00,-52.375,0.0,-49.75,0.0,4989.5,0.0
2019-05-30 01:55:00,-52.70909090909092,0.0,-49.47272727272727,0.0,4991.999999999999,0.0
2019-05-30 02:00:00,-52.618181818181824,0.0,-49.49090909090909,0.0,4994.8,0.0
2019-05-30 02:05:00,-52.65384615384614,0.0,-49.51923076923078,0.0,4992.884615384615,0.0
2019-05-30 02:10:00,-52.62264150943396,0.0,-49.47169811320755,0.0,4992.301886792452,0.0
2019-05-30 02:15:00,-52.77358490566038,0.0,-49.58490566037736,0.0,4996.867924528302,0.0
2019-05-30 02:20:00,-52.47169811320754,0.0,-49.50943396226415,0.0,4995.622641509433,0.0
2019-05-30 02:25:00,-52.65454545454544,0.0,-49.50909090909091,0.0,4994.800000000001,0.0
2019-05-30 02:30:00,-52.66666666666667,0.0,-49.407407407407405,0.0,4995.814814814816,0.0
2019-05-30 02:35:00,-52.490566037735846,0.0,-49.54716981132076,0.0,4994.792452830188,0.0
2019-05-30 02:40:00,-52.679245283018865,0.0,-49.41509433962264,0.0,4991.8867924528295,0.0
2019-05-30 02:45:00,-52.69090909090908,0.0,-49.545454545454554,0.0,4995.200000000003,0.0
2019-05-30 02:50:00,-52.785714285714285,0.0,-49.35714285714286,0.0,4996.964285714286,0.0
2019-05-30 02:55:00,-52.69230769230769,0.0,-49.3076923076923,0.0,4995.423076923077,0.0
2019-05-30 03:00:00,-52.64285714285714,0.0,-49.5,0.0,4995.785714285715,0.0
2019-05-30 03:05:00,-52.58490566037735,0.0,-49.56603773584905,0.0,4996.037735849058,0.0
2019-05-30 03:10:00,-52.66666666666666,0.0,-49.235294117647065,0.0,4992.627450980394,0.0
2019-05-30 03:15:00,-52.3818181818182,0.0,-49.40000000000003,0.0,4998.0,0.0
2019-05-30 03:20:00,-52.51111111111112,0.0,-49.44444444444445,0.0,4995.7333333333345,0.0
2019-05-30 03:40:00,-52.58823529411764,0.0,-49.38235294117648,0.0,4995.647058823531,0.0
2019-05-30 03:45:00,-52.67857142857144,0.0,-49.33928571428572,0.0,4996.964285714288,0.0
2019-05-30 03:50:00,-52.69642857142858,0.0,-49.26785714285715,0.0,4996.178571428572,0.0
2019-05-30 03:55:00,-52.81132075471698,0.0,-49.26415094339621,0.0,4995.207547169811,0.0
2019-05-30 04:00:00,-52.5,0.0,-49.196428571428555,0.0,4996.178571428571,0.0
2019-05-30 04:05:00,-52.69642857142857,0.0,-49.392857142857146,0.0,4995.000000000001,0.0
2019-05-30 04:10:00,-52.64814814814814,0.0,-49.3888888888889,0.0,4995.814814814816,0.0
2019-05-30 04:15:00,-52.73214285714286,0.0,-49.35714285714285,0.0,4996.1785714285725,0.0
2019-05-30 04:20:00,-52.78947368421052,0.0,-49.47368421052631,0.0,4993.649122807016,0.0
2019-05-30 04:25:00,-52.59259259259261,0.0,-49.407407407407405,0.0,4993.7777777777765,0.0
2019-05-30 04:30:00,-52.642857142857125,0.0,-49.285714285714285,0.0,4993.8214285714275,0.0
2019-05-30 04:35:00,-52.732142857142854,0.0,-49.32142857142856,0.0,4993.821428571428,0.0
2019-05-30 04:40:00,-52.641509433962256,0.0,-49.47169811320754,0.0,4998.11320754717,0.0
2019-05-30 04:45:00,-52.64912280701752,0.0,-49.3859649122807,0.0,4995.578947368423,0.0
2019-05-30 04:50:00,-52.72727272727273,0.0,-49.58181818181818,0.0,4993.200000000003,0.0
2019-05-30 04:55:00,-52.629629629629626,0.0,-49.46296296296297,0.0,4994.999999999999,0.0
2019-05-30 05:00:00,-52.65384615384613,0.0,-49.57692307692309,0.0,4994.576923076925,0.0
2019-05-30 05:05:00,-52.80434782608695,0.0,-49.43478260869565,0.0,4996.434782608696,0.0
2019-05-30 05:10:00,-52.695652173913054,0.0,-49.41304347826087,0.0,4993.565217391303,0.0
2019-05-30 05:15:00,-52.61538461538461,0.0,-49.15384615384615,0.0,4994.717948717947,0.0
2019-05-30 05:20:00,-52.58139534883722,0.0,-49.18604651162791,0.0,4995.2558139534885,0.0
2019-05-30 05:25:00,-52.666666666666664,0.0,-49.205128205128204,0.0,4993.589743589744,0.0
2019-05-30 05:30:00,-52.75000000000002,0.0,-49.354166666666664,0.0,4994.083333333335,0.0
2019-05-30 05:35:00,-54.6595744680851,0.0,-52.36170212765958,0.0,4995.234042553191,0.0
2019-05-30 05:40:00,-54.96,0.0,-52.58,0.0,4994.559999999998,0.0
2019-05-30 05:45:00,-55.04444444444446,0.0,-52.66666666666666,0.0,4995.244444444444,0.0
2019-05-30 05:50:00,-54.882352941176464,0.0,-52.68627450980393,0.0,4993.92156862745,0.0
2019-05-30 05:55:00,-54.94,0.0,-52.53999999999999,0.0,4996.759999999999,0.0
2019-05-30 06:00:00,-54.979999999999976,0.0,-52.699999999999996,0.0,4992.800000000001,0.0
2019-05-30 06:05:00,-55.09615384615384,0.0,-52.67307692307692,0.0,4992.884615384614,0.0
2019-05-30 06:10:00,-55.324999999999996,0.0,-53.07500000000001,0.0,4995.55,0.0
2019-05-30 06:15:00,-55.348837209302324,0.0,-53.00000000000001,0.0,4995.2558139534885,0.0
2019-05-30 06:20:00,-54.66666666666667,0.0,-52.17777777777778,0.0,4995.244444444444,0.0
2019-05-30 06:25:00,-54.914893617021285,0.0,-52.61702127659574,0.0,4993.829787234041,0.0
2019-05-30 06:30:00,-54.431818181818166,0.0,-51.93181818181817,0.0,4992.999999999998,0.0
2019-05-30 06:35:00,-55.54761904761904,0.0,-52.738095238095234,0.0,4996.047619047621,0.0
2019-05-30 06:40:00,-53.86538461538462,0.0,-51.19230769230769,0.0,4994.153846153846,0.0
2019-05-30 06:45:00,-53.92982456140349,0.0,-50.964912280701746,0.0,4994.80701754386,0.0
2019-05-30 06:50:00,-53.77192982456141,0.0,-50.94736842105262,0.0,4994.80701754386,0.0
2019-05-30 06:55:00,-53.87500000000001,0.0,-51.071428571428584,0.0,4994.214285714287,0.0
2019-05-30 07:00:00,-53.68518518518519,0.0,-50.981481481481474,0.0,4994.185185185184,0.0
2019-05-30 07:05:00,-53.78947368421053,0.0,-50.964912280701746,0.0,4994.035087719299,0.0
2019-05-30 07:10:00,-53.888888888888886,0.0,-51.40740740740741,0.0,4993.7777777777765,0.0
2019-05-30 07:15:00,-53.99999999999999,0.0,-51.52830188679245,0.0,4991.056603773585,0.0
2019-05-30 07:20:00,-54.05263157894737,0.0,-51.75438596491229,0.0,4993.263157894735,0.0
2019-05-30 07:25:00,-54.33928571428571,0.0,-51.71428571428572,0.0,4996.1785714285725,0.0
2019-05-30 07:30:00,-54.788461538461526,0.0,-52.09615384615385,0.0,4995.423076923077,0.0
2019-05-30 07:35:00,-54.589285714285715,0.0,-52.035714285714285,0.0,4997.357142857143,0.0
2019-05-30 07:40:00,-54.44444444444442,0.0,-52.12962962962963,0.0,4995.407407407407,0.0
2019-05-30 07:45:00,-54.538461538461526,0.0,-52.000000000000014,0.0,4996.692307692306,0.0
2019-05-30 07:50:00,-55.274509803921575,0.0,-52.62745098039216,0.0,4994.35294117647,0.0
2019-05-30 07:55:00,-56.22916666666667,0.0,-53.79166666666668,0.0,4993.625,0.0
2019-05-30 08:00:00,-56.31111111111112,0.0,-53.95555555555555,0.0,4997.200000000001,0.0
2019-05-30 08:05:00,-56.173913043478265,0.0,-53.826086956521735,0.0,4993.565217391303,0.0
2019-05-30 08:10:00,-56.82608695652173,0.0,-54.2608695652174,0.0,4996.434782608695,0.0
2019-05-30 08:15:00,-57.67441860465116,0.0,-55.13953488372093,0.0,4995.767441860466,0.0
2019-05-30 08:20:00,-56.95555555555557,0.0,-54.75555555555555,0.0,4994.755555555554,0.0
2019-05-30 08:25:00,-56.21276595744682,0.0,-53.85106382978724,0.0,4995.234042553191,0.0
2019-05-30 08:30:00,-55.44444444444445,0.0,-53.24444444444445,0.0,4994.266666666667,0.0
2019-05-30 08:35:00,-54.86363636363635,0.0,-52.52272727272728,0.0,4997.000000000001,0.0
2019-05-30 08:40:00,-54.878048780487816,0.0,-52.48780487804878,0.0,4999.0243902439015,0.0
2019-05-30 08:45:00,-55.0232558139535,0.0,-52.51162790697675,0.0,4996.790697674418,0.0
2019-05-30 08:50:00,-54.28000000000001,0.0,-51.699999999999996,0.0,4995.4400000000005,0.0
2019-05-30 08:55:00,-54.54347826086957,0.0,-52.15217391304349,0.0,4994.999999999998,0.0
2019-05-30 09:00:00,-54.977272727272734,0.0,-52.31818181818181,0.0,4995.0,0.0
2019-05-30 09:05:00,-56.26530612244898,0.0,-53.87755102040818,0.0,4993.877551020407,0.0
2019-05-30 09:10:00,-56.156862745098046,0.0,-53.82352941176471,0.0,4993.921568627451,0.0
2019-05-30 09:15:00,-56.78846153846154,0.0,-54.3076923076923,0.0,4995.423076923075,0.0
2019-05-30 09:20:00,-56.25925925925927,0.0,-53.77777777777778,0.0,4991.333333333336,0.0
2019-05-30 09:25:00,-55.1923076923077,0.0,-52.74999999999999,0.0,4989.076923076924,0.0
2019-05-30 09:30:00,-55.57142857142858,0.0,-53.16326530612245,0.0,4989.387755102041,0.0
2019-05-30 09:35:00,-55.27450980392156,0.0,-53.09803921568627,0.0,4989.607843137254,0.0
2019-05-30 09:40:00,-55.5625,0.0,-52.958333333333336,0.0,4990.416666666668,0.0
2019-05-30 09:45:00,-55.260000000000005,0.0,-52.919999999999995,0.0,4989.72,0.0
2019-05-30 09:50:00,-55.4074074074074,0.0,-52.96296296296297,0.0,4994.185185185185,0.0
2019-05-30 09:55:00,-56.0,0.0,-53.0,0.0,5006.0,0.0
2019-05-30 10:10:00,-55.590909090909086,0.0,-52.95454545454545,0.0,5004.0,0.0
2019-05-30 10:15:00,-55.40384615384615,0.0,-52.86538461538463,0.0,5003.461538461537,0.0
2019-05-30 10:20:00,-55.54716981132076,0.0,-52.962264150943376,0.0,5004.339622641512,0.0
2019-05-30 10:25:00,-55.15094339622642,0.0,-52.622641509433954,0.0,5004.754716981132,0.0
2019-05-30 10:30:00,-54.69811320754718,0.0,-52.26415094339623,0.0,5003.924528301887,0.0
2019-05-30 10:35:00,-54.69090909090909,0.0,-52.23636363636364,0.0,5004.4,0.0
2019-05-30 10:40:00,-55.260000000000005,0.0,-53.180000000000014,0.0,5003.36,0.0
2019-05-30 10:45:00,-54.975,0.0,-52.349999999999994,0.0,4999.400000000001,0.0
2019-05-30 10:50:00,-54.272727272727266,0.0,-51.70454545454546,0.0,5004.500000000002,0.0
2019-05-30 10:55:00,-54.102564102564095,0.0,-51.794871794871796,0.0,5003.743589743588,0.0
2019-05-30 11:00:00,-53.999999999999986,0.0,-51.5,0.0,5004.166666666667,0.0
2019-05-30 11:05:00,-54.99999999999999,0.0,-52.609756097560975,0.0,5004.3902439024405,0.0
2019-05-30 11:10:00,-55.18181818181817,0.0,-52.97727272727273,0.0,5002.499999999998,0.0
2019-05-30 11:15:00,-57.19565217391306,0.0,-54.54347826086957,0.0,5003.130434782609,0.0
2019-05-30 11:20:00,-57.00000000000001,0.0,-54.08,0.0,5005.119999999999,0.0
2019-05-30 11:25:00,-54.108695652173935,0.0,-51.543478260869556,0.0,5003.608695652173,0.0
2019-05-30 11:30:00,-53.489795918367356,0.0,-50.87755102040817,0.0,5004.65306122449,0.0
2019-05-30 11:35:00,-53.72340425531916,0.0,-50.872340425531924,0.0,5003.191489361702,0.0
2019-05-30 11:40:00,-53.523809523809526,0.0,-50.904761904761905,0.0,5004.428571428571,0.0
2019-05-30 11:45:00,-53.29787234042553,0.0,-50.68085106382979,0.0,5004.5957446808525,0.0
2019-05-30 11:50:00,-54.235294117647065,0.0,-51.607843137254896,0.0,5004.705882352941,0.0
2019-05-30 11:55:00,-54.09302325581395,0.0,-51.488372093023244,0.0,5003.441860465116,0.0
2019-05-30 12:00:00,-54.0,0.0,-51.0,0.0,5006.0,0.0
2019-05-30 12:15:00,-54.888888888888886,0.0,-52.388888888888886,0.0,5003.555555555555,0.0
2019-05-30 12:20:00,-55.301886792452834,0.0,-52.7547169811321,0.0,5004.339622641512,0.0
2019-05-30 12:25:00,-55.22641509433962,0.0,-52.77358490566037,0.0,5004.339622641511,0.0
2019-05-30 12:30:00,-55.43999999999999,0.0,-52.860000000000014,0.0,5003.36,0.0
2019-05-30 12:35:00,-55.672727272727265,0.0,-53.14545454545454,0.0,5002.0,0.0
2019-05-30 12:40:00,-55.1764705882353,0.0,-52.58823529411765,0.0,5004.705882352941,0.0
2019-05-30 12:45:00,-56.500000000000014,0.0,-54.04347826086957,0.0,5004.565217391305,0.0
