,pir_duplicates,pir_messages,env_duplicates,env_messages,pir_delivery_ratio,network_delivery_ratio
2019-06-07 09:45:00+00:00,0,3,0,26,0.04918032786885246,0.28888888888888886
2019-06-07 10:00:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-07 10:15:00+00:00,0,2,0,79,0.03278688524590164,0.8777777777777778
2019-06-07 10:30:00+00:00,0,13,0,75,0.21311475409836064,0.8333333333333334
2019-06-07 10:45:00+00:00,0,26,0,53,0.4262295081967213,0.5888888888888889
2019-06-07 11:00:00+00:00,0,0,0,26,0.0,0.28888888888888886
2019-06-07 11:15:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-07 11:30:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-07 11:45:00+00:00,0,2,0,82,0.03278688524590164,0.9111111111111111
2019-06-07 12:00:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-07 12:15:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-07 12:30:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-07 12:45:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-07 13:00:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-07 13:15:00+00:00,0,0,0,85,0.0,0.9444444444444444
2019-06-07 13:30:00+00:00,0,0,0,85,0.0,0.9444444444444444
2019-06-07 13:45:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-07 14:00:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-07 14:15:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-07 14:30:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-07 14:45:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-07 15:00:00+00:00,0,1,0,79,0.01639344262295082,0.8777777777777778
2019-06-07 15:15:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-07 15:30:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-07 15:45:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-07 16:00:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-07 16:15:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-07 16:30:00+00:00,0,0,1,86,0.0,0.9555555555555556
2019-06-07 16:45:00+00:00,0,0,2,84,0.0,0.9333333333333333
2019-06-07 17:00:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-07 17:15:00+00:00,0,0,0,87,0.0,0.9666666666666667
2019-06-07 17:30:00+00:00,0,2,1,82,0.03278688524590164,0.9111111111111111
2019-06-07 17:45:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-07 18:00:00+00:00,0,2,0,80,0.03278688524590164,0.8888888888888888
2019-06-07 18:15:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-07 18:30:00+00:00,0,2,0,85,0.03278688524590164,0.9444444444444444
2019-06-07 18:45:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-07 19:00:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-07 19:15:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-07 19:30:00+00:00,0,0,0,85,0.0,0.9444444444444444
2019-06-07 19:45:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-07 20:00:00+00:00,0,0,2,76,0.0,0.8444444444444444
2019-06-07 20:15:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-07 20:30:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-07 20:45:00+00:00,0,0,0,81,0.0,0.9
2019-06-07 21:00:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-07 21:15:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-07 21:30:00+00:00,0,0,0,79,0.0,0.8777777777777778
