timestamp,gateway_rssi,gateway_snr,node_rssi,node_snr,node_vcc,payload
2020-02-29 22:00:00+00:00,-91.81249999999999,-0.8124999999999999,-85.93749999999999,-59.70833333333332,4993.166666666666,55.81250000000001
2020-02-29 22:05:00+00:00,-91.8958333333333,-0.9166666666666666,-85.75000000000001,-59.770833333333336,4991.791666666667,55.87499999999999
2020-02-29 22:10:00+00:00,-91.78260869565216,-0.826086956521739,-85.80434782608694,-59.73913043478261,4990.217391304347,55.82608695652173
2020-02-29 22:15:00+00:00,-91.85416666666666,-0.7916666666666669,-85.91666666666669,-59.68749999999999,4992.250000000001,55.79166666666668
2020-02-29 22:20:00+00:00,-91.91666666666664,-0.7499999999999999,-86.04166666666669,-59.645833333333336,4992.25,55.749999999999986
2020-02-29 22:25:00+00:00,-92.06666666666668,-0.6444444444444445,-86.13333333333334,-59.68888888888887,4993.7777777777765,55.62222222222223
2020-02-29 22:30:00+00:00,-91.85416666666666,-0.8749999999999999,-85.97916666666669,-59.77083333333332,4991.333333333335,55.85416666666668
2020-02-29 22:35:00+00:00,-91.75510204081628,-0.9183673469387754,-85.93877551020408,-59.897959183673464,4990.285714285715,55.897959183673464
2020-02-29 22:40:00+00:00,-91.76086956521738,-0.8043478260869563,-85.89130434782604,-59.93478260869565,4992.608695652174,55.80434782608695
2020-02-29 22:45:00+00:00,-91.8125,-0.75,-86.1041666666667,-59.91666666666667,4994.999999999999,55.75
2020-02-29 22:50:00+00:00,-91.8723404255319,-0.7446808510638294,-85.97872340425532,-59.787234042553195,4991.021276595745,55.723404255319146
2020-02-29 22:55:00+00:00,-91.9387755102041,-0.7346938775510202,-86.04081632653063,-59.85714285714286,4989.836734693878,55.71428571428571
2020-02-29 23:00:00+00:00,-91.9333333333333,-0.7777777777777778,-86.04444444444447,-59.7111111111111,4987.91111111111,55.75555555555555
2020-02-29 23:05:00+00:00,-91.87499999999999,-0.8541666666666666,-85.95833333333333,-59.85416666666668,4991.791666666668,55.85416666666668
2020-02-29 23:10:00+00:00,-91.80851063829788,-0.8936170212765957,-85.93617021276593,-59.74468085106384,4989.1489361702115,55.8723404255319
2020-02-29 23:15:00+00:00,-92.06666666666666,-0.8444444444444444,-86.0222222222222,-59.64444444444443,4989.866666666665,55.822222222222216
2020-02-29 23:20:00+00:00,-92.06250000000004,-0.625,-86.20833333333331,-59.45833333333333,4990.874999999998,55.62499999999999
2020-02-29 23:25:00+00:00,-91.95833333333333,-0.7499999999999998,-86.18749999999999,-59.52083333333333,4990.875000000001,55.75
2020-02-29 23:30:00+00:00,-91.93333333333332,-0.8444444444444444,-86.04444444444445,-59.71111111111111,4991.333333333334,55.844444444444434
2020-02-29 23:35:00+00:00,-91.76086956521735,-0.9130434782608693,-85.8478260869565,-59.826086956521735,4992.130434782612,55.91304347826086
2020-02-29 23:40:00+00:00,-91.8076923076923,-0.7692307692307694,-85.8076923076923,-60.03846153846155,4986.538461538462,55.76923076923076
2020-03-01 00:00:00+00:00,-91.92682926829266,-0.8048780487804877,-86.02439024390243,-59.90243902439024,4989.90243902439,55.80487804878049
2020-03-01 00:05:00+00:00,-91.89361702127658,-0.8297872340425532,-85.91489361702125,-59.8723404255319,4990.085106382977,55.82978723404256
2020-03-01 00:10:00+00:00,-91.7659574468085,-0.8936170212765958,-86.04255319148938,-59.978723404255305,4991.489361702129,55.893617021276576
2020-03-01 00:15:00+00:00,-92.0,-0.7777777777777777,-86.02222222222221,-59.77777777777777,4988.88888888889,55.777777777777786
2020-03-01 00:20:00+00:00,-92.14583333333333,-0.6458333333333333,-85.95833333333331,-59.60416666666666,4987.666666666668,55.64583333333332
2020-03-01 00:25:00+00:00,-91.87234042553192,-0.6595744680851064,-86.10638297872345,-59.72340425531915,4991.489361702129,55.65957446808511
2020-03-01 00:30:00+00:00,-91.91304347826089,-0.8913043478260865,-85.93478260869567,-59.71739130434782,4988.782608695652,55.891304347826086
2020-03-01 00:35:00+00:00,-91.76595744680847,-0.9148936170212765,-85.87234042553192,-60.00000000000002,4989.148936170212,55.914893617021264
2020-03-01 00:40:00+00:00,-91.9583333333333,-0.9374999999999998,-86.14583333333334,-59.91666666666667,4992.25,55.91666666666666
2020-03-01 00:45:00+00:00,-92.04444444444444,-0.7333333333333334,-86.06666666666668,-59.733333333333334,4990.355555555554,55.71111111111111
2020-03-01 00:50:00+00:00,-91.97916666666667,-0.7291666666666665,-86.10416666666669,-59.77083333333333,4990.416666666668,55.72916666666667
2020-03-01 00:55:00+00:00,-92.02083333333331,-0.8333333333333335,-86.06250000000001,-59.708333333333336,4990.416666666666,55.83333333333334
2020-03-01 01:00:00+00:00,-92.06521739130432,-0.760869565217391,-86.21739130434781,-59.760869565217384,4990.695652173913,55.76086956521739
2020-03-01 01:05:00+00:00,-91.8723404255319,-0.8723404255319147,-86.10638297872342,-59.89361702127661,4989.6170212765965,55.872340425531924
2020-03-01 01:10:00+00:00,-91.81249999999996,-0.9374999999999997,-85.81249999999997,-60.02083333333334,4990.874999999999,55.91666666666666
2020-03-01 01:15:00+00:00,-91.79999999999997,-0.7999999999999998,-85.93333333333328,-59.80000000000001,4990.355555555556,55.800000000000004
2020-03-01 01:20:00+00:00,-92.0,-1.9574468085106378,-85.99999999999997,-59.553191489361694,4991.021276595745,55.6595744680851
2020-03-01 01:25:00+00:00,-91.94871794871794,-0.641025641025641,-86.15384615384619,-59.51282051282051,4990.205128205127,55.641025641025635
