,gateway_rssi,gateway_snr,node_rssi,node_snr,node_vcc,payload
2019-10-01 10:45:00+00:00,-72.0,-5.0,-64.5,-5.25,5120.0,58.0
2019-10-01 11:05:00+00:00,-73.2,-5.0,-64.8,-5.4,5120.0,58.0
2019-10-01 12:05:00+00:00,-72.5873015873016,-5.031746031746032,-65.22222222222221,-5.2063492063492065,5120.36507936508,58.0
2019-10-01 12:10:00+00:00,-72.2077922077922,-5.064935064935065,-64.92207792207792,-5.233766233766232,5120.0,58.0
2019-10-01 12:15:00+00:00,-74.62337662337663,-4.999999999999998,-67.41558441558439,-5.31168831168831,5121.194805194805,58.0
2019-10-01 12:20:00+00:00,-74.77464788732387,-4.985915492957748,-67.5070422535211,-5.253521126760563,5120.971830985916,58.0
2019-10-01 12:25:00+00:00,-70.55263157894734,-5.026315789473684,-63.13157894736841,-5.5921052631578965,5120.605263157894,58.0
2019-10-01 12:30:00+00:00,-70.36842105263155,-5.013157894736842,-63.02631578947368,-5.5394736842105265,5120.9078947368425,58.0
2019-10-01 12:35:00+00:00,-70.29333333333335,-5.04,-63.0,-5.573333333333334,5120.0,58.0
2019-10-01 12:40:00+00:00,-70.2987012987013,-5.025974025974026,-62.857142857142854,-5.636363636363636,5120.597402597403,58.0
2019-10-01 12:45:00+00:00,-70.28205128205124,-5.0,-62.82051282051283,-5.564102564102564,5120.0,58.0
2019-10-01 12:50:00+00:00,-71.0405405405405,-5.027027027027026,-63.60810810810809,-5.499999999999999,5120.621621621622,58.0
2019-10-01 12:55:00+00:00,-73.94805194805194,-5.012987012987012,-66.40259740259737,-5.2727272727272725,5120.298701298702,58.0
2019-10-01 13:00:00+00:00,-70.33766233766231,-5.077922077922078,-62.66233766233764,-5.389610389610389,5120.298701298702,58.0
2019-10-01 13:05:00+00:00,-69.05405405405403,-5.054054054054054,-61.405405405405425,-5.4459459459459465,5120.621621621622,58.0
2019-10-01 13:10:00+00:00,-68.75324675324677,-5.103896103896105,-61.064935064935064,-5.350649350649351,5120.298701298701,58.0
2019-10-01 13:15:00+00:00,-69.12820512820514,-5.076923076923076,-61.500000000000014,-5.384615384615384,5120.0,58.0
2019-10-01 13:20:00+00:00,-69.27027027027026,-5.0810810810810825,-61.7972972972973,-5.581081081081081,5120.621621621622,58.0
2019-10-01 13:25:00+00:00,-70.02564102564102,-5.064102564102564,-62.47435897435898,-5.423076923076921,5120.589743589746,58.0
2019-10-01 13:30:00+00:00,-70.46753246753246,-5.103896103896105,-62.909090909090935,-5.467532467532469,5120.896103896104,58.0
2019-10-01 13:35:00+00:00,-69.08108108108108,-5.054054054054055,-61.405405405405425,-5.459459459459461,5120.621621621623,58.0
2019-10-01 13:40:00+00:00,-69.50649350649348,-5.129870129870132,-62.03896103896105,-5.415584415584413,5120.896103896104,58.0
2019-10-01 13:45:00+00:00,-68.59740259740259,-5.051948051948053,-60.8831168831169,-5.363636363636365,5120.298701298702,58.0
2019-10-01 13:50:00+00:00,-70.13333333333334,-5.026666666666666,-62.80000000000001,-5.439999999999999,5121.533333333335,58.0
2019-10-01 13:55:00+00:00,-70.44736842105259,-5.039473684210526,-62.86842105263159,-5.4210526315789505,5120.907894736844,58.0
2019-10-01 14:00:00+00:00,-69.93589743589745,-5.0256410256410255,-62.52564102564102,-5.435897435897435,5121.179487179486,58.0
2019-10-01 14:05:00+00:00,-70.21333333333332,-5.013333333333332,-62.78666666666666,-5.466666666666667,5120.0,58.0
2019-10-01 14:10:00+00:00,-70.15384615384613,-5.064102564102563,-62.78205128205127,-5.474358974358974,5120.589743589744,58.0
2019-10-01 14:15:00+00:00,-69.69736842105264,-5.0394736842105265,-62.09210526315789,-5.342105263157895,5119.986842105262,58.0
2019-10-01 14:20:00+00:00,-68.90540540540539,-5.027027027027025,-61.36486486486487,-5.4459459459459465,5120.621621621622,58.0
2019-10-01 14:25:00+00:00,-69.19736842105266,-5.026315789473684,-61.592105263157876,-5.36842105263158,5120.302631578949,58.0
2019-10-01 14:30:00+00:00,-69.51948051948048,-5.0519480519480515,-61.77922077922077,-5.4025974025974035,5120.0,58.0
2019-10-01 14:35:00+00:00,-68.78666666666666,-5.013333333333334,-61.19999999999998,-5.480000000000001,5120.613333333335,58.0
2019-10-01 14:40:00+00:00,-70.34545454545453,-5.072727272727273,-62.87272727272726,-5.454545454545453,5120.399999999998,58.0
2019-10-01 15:00:00+00:00,-69.79629629629629,-5.055555555555556,-62.35185185185187,-5.425925925925925,5120.425925925926,58.01851851851855
2019-10-01 15:05:00+00:00,-69.51315789473678,-5.013157894736841,-61.77631578947368,-5.368421052631578,5120.302631578948,57.96052631578948
2019-10-01 15:10:00+00:00,-69.92207792207793,-5.025974025974025,-62.350649350649356,-5.363636363636362,5119.688311688312,57.97402597402598
2019-10-01 15:15:00+00:00,-67.71621621621621,-5.067567567567566,-60.067567567567565,-5.418918918918918,5120.9324324324325,57.986486486486484
2019-10-01 15:20:00+00:00,-68.53246753246754,-5.051948051948052,-60.79220779220779,-5.324675324675325,5120.298701298702,57.415584415584426
