,gateway_rssi,gateway_snr,node_rssi,node_snr,node_vcc,payload
2019-09-28 00:10:00+00:00,-62.116279069767444,-5.1395348837209305,-54.2093023255814,-5.581395348837211,5006.0,56.0
2019-09-28 00:15:00+00:00,-62.416666666666664,-5.208333333333332,-54.23611111111111,-5.458333333333332,5006.305555555556,56.0
2019-09-28 00:20:00+00:00,-62.08219178082193,-5.164383561643836,-54.0958904109589,-5.547945205479452,5006.0,56.0
2019-09-28 00:25:00+00:00,-61.929577464788736,-5.295774647887322,-53.92957746478873,-5.63380281690141,5006.0,56.0
2019-09-28 00:30:00+00:00,-61.91780821917807,-5.369863013698629,-54.0958904109589,-5.575342465753424,5006.301369863014,56.0
2019-09-28 00:35:00+00:00,-62.08108108108108,-5.162162162162161,-54.12162162162164,-5.567567567567569,5006.0,56.0
2019-09-28 00:40:00+00:00,-62.11428571428572,-5.2,-54.2,-5.485714285714285,5006.0,56.0
2019-09-28 00:45:00+00:00,-61.91549295774648,-5.366197183098592,-53.73239436619718,-5.394366197183097,5006.309859154929,56.0
2019-09-28 00:50:00+00:00,-61.94594594594595,-5.270270270270271,-53.94594594594595,-5.459459459459459,5006.0,56.0
2019-09-28 00:55:00+00:00,-62.485714285714295,-5.185714285714285,-54.34285714285713,-5.499999999999999,5006.0,56.0
2019-09-28 01:00:00+00:00,-62.63380281690139,-5.225352112676055,-54.56338028169016,-5.436619718309858,5006.309859154929,56.0
2019-09-28 01:05:00+00:00,-62.18055555555557,-5.069444444444443,-54.26388888888888,-5.291666666666665,5006.0,56.0
2019-09-28 01:10:00+00:00,-62.08571428571429,-5.171428571428571,-54.228571428571435,-5.4714285714285715,5006.0,56.0
2019-09-28 01:15:00+00:00,-62.219178082191775,-5.1369863013698644,-54.26027397260276,-5.493150684931505,5006.0,56.0
2019-09-28 01:20:00+00:00,-62.25000000000001,-5.180555555555555,-54.30555555555557,-5.458333333333336,5006.0,56.0
2019-09-28 01:25:00+00:00,-61.92857142857142,-5.228571428571428,-53.91428571428571,-5.514285714285713,5006.0,56.0
2019-09-28 01:30:00+00:00,-61.904109589041084,-5.287671232876713,-54.06849315068494,-5.493150684931508,5006.301369863013,56.0
2019-09-28 01:35:00+00:00,-62.094594594594604,-5.175675675675676,-54.35135135135135,-5.43243243243243,5006.0,56.0
2019-09-28 01:40:00+00:00,-62.1449275362319,-5.17391304347826,-54.14492753623188,-5.521739130434782,5006.0,56.0
2019-09-28 01:45:00+00:00,-61.70833333333332,-5.305555555555556,-53.625,-5.416666666666667,5006.0,56.0
2019-09-28 01:50:00+00:00,-61.93150684931506,-5.287671232876713,-53.945205479452056,-5.43835616438356,5006.0,56.0
2019-09-28 01:55:00+00:00,-62.38888888888891,-5.208333333333334,-54.19444444444446,-5.555555555555555,5006.0,56.0
2019-09-28 02:00:00+00:00,-62.583333333333314,-5.125000000000001,-54.47222222222222,-5.527777777777777,5006.0,56.0
2019-09-28 02:05:00+00:00,-62.260273972602754,-5.164383561643838,-54.356164383561634,-5.589041095890411,5006.301369863013,56.0
2019-09-28 02:10:00+00:00,-62.12676056338029,-5.211267605633803,-54.19718309859156,-5.450704225352113,5006.0,56.0
2019-09-28 02:15:00+00:00,-62.328767123287676,-5.205479452054795,-54.150684931506866,-5.397260273972602,5006.0,56.0
2019-09-28 02:20:00+00:00,-62.162162162162154,-5.1891891891891895,-54.14864864864866,-5.499999999999997,5006.0,56.0
2019-09-28 02:25:00+00:00,-61.89855072463768,-5.3478260869565215,-53.89855072463767,-5.478260869565217,5006.0,56.0
2019-09-28 02:30:00+00:00,-61.91891891891892,-5.2972972972972965,-54.05405405405405,-5.432432432432431,5006.594594594595,56.0
2019-09-28 02:35:00+00:00,-61.986111111111114,-5.1805555555555545,-54.236111111111114,-5.527777777777777,5006.305555555556,56.0
2019-09-28 02:40:00+00:00,-62.04347826086958,-5.231884057971015,-53.985507246376834,-5.376811594202899,5006.0,56.0
2019-09-28 02:45:00+00:00,-61.77777777777778,-5.38888888888889,-53.72222222222222,-5.374999999999999,5006.305555555556,56.0
2019-09-28 02:50:00+00:00,-61.74324324324323,-5.432432432432431,-53.74324324324323,-5.472972972972972,5006.0,56.0
2019-09-28 02:55:00+00:00,-62.39999999999999,-5.242857142857142,-54.20000000000001,-5.557142857142858,5006.0,56.0
2019-09-28 03:00:00+00:00,-62.444444444444436,-5.194444444444444,-54.458333333333336,-5.444444444444441,5006.0,56.0
2019-09-28 03:05:00+00:00,-62.1756756756757,-5.14864864864865,-54.33783783783784,-5.513513513513511,5006.0,56.0
2019-09-28 03:10:00+00:00,-62.05797101449276,-5.101449275362319,-54.318840579710155,-5.492753623188405,5006.31884057971,56.0
