,pir_duplicates,pir_messages,env_duplicates,env_messages,pir_delivery_ratio,network_delivery_ratio
2019-10-01 12:20:00+00:00,0,0,0,87,,0.9666666666666667
2019-10-01 12:35:00+00:00,0,0,0,88,,0.9777777777777777
2019-10-01 12:50:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-01 13:05:00+00:00,0,0,0,87,,0.9666666666666667
2019-10-01 13:20:00+00:00,0,0,0,85,,0.9444444444444444
2019-10-01 13:35:00+00:00,0,0,0,86,,0.9555555555555556
2019-10-01 13:50:00+00:00,0,0,0,86,,0.9555555555555556
2019-10-01 14:05:00+00:00,0,0,0,84,,0.9333333333333333
2019-10-01 14:20:00+00:00,0,0,0,86,,0.9555555555555556
2019-10-01 14:35:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-01 15:15:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-01 15:30:00+00:00,0,0,3,78,,0.8666666666666667
2019-10-01 15:45:00+00:00,0,0,0,74,,0.8222222222222222
2019-10-01 16:00:00+00:00,0,0,0,65,,0.7222222222222222
2019-10-01 16:35:00+00:00,0,0,0,87,,0.9666666666666667
2019-10-01 16:50:00+00:00,0,0,0,85,,0.9444444444444444
2019-10-01 17:05:00+00:00,0,0,0,88,,0.9777777777777777
2019-10-01 17:20:00+00:00,0,0,1,88,,0.9777777777777777
2019-10-01 17:35:00+00:00,0,0,0,88,,0.9777777777777777
2019-10-01 17:50:00+00:00,0,0,0,88,,0.9777777777777777
2019-10-01 18:05:00+00:00,0,0,1,89,,0.9888888888888889
2019-10-01 18:20:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-01 18:40:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-01 18:55:00+00:00,0,0,0,86,,0.9555555555555556
2019-10-01 19:10:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-01 19:25:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-01 19:40:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-01 19:55:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-01 20:10:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-01 20:25:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-01 21:00:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-01 21:15:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-01 21:35:00+00:00,0,0,0,87,,0.9666666666666667
2019-10-01 21:50:00+00:00,0,0,0,88,,0.9777777777777777
2019-10-01 22:25:00+00:00,0,0,0,88,,0.9777777777777777
2019-10-01 22:40:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-01 23:00:00+00:00,0,0,0,88,,0.9777777777777777
2019-10-01 23:15:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-01 23:30:00+00:00,0,0,0,87,,0.9666666666666667
2019-10-01 23:45:00+00:00,0,0,0,86,,0.9555555555555556
2019-10-02 00:00:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 00:15:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 00:30:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 00:45:00+00:00,0,0,0,87,,0.9666666666666667
2019-10-02 01:00:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 01:15:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 01:30:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 01:45:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 02:00:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 02:15:00+00:00,0,0,1,89,,0.9888888888888889
2019-10-02 02:55:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 03:15:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 03:30:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 03:45:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 04:20:00+00:00,0,0,0,88,,0.9777777777777777
2019-10-02 04:35:00+00:00,0,0,0,88,,0.9777777777777777
2019-10-02 04:50:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 05:05:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 05:20:00+00:00,0,0,1,89,,0.9888888888888889
2019-10-02 05:40:00+00:00,0,0,0,88,,0.9777777777777777
2019-10-02 05:55:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 06:10:00+00:00,0,0,0,88,,0.9777777777777777
2019-10-02 06:25:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 06:40:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 06:55:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 07:10:00+00:00,0,0,0,86,,0.9555555555555556
2019-10-02 07:25:00+00:00,0,0,3,89,,0.9888888888888889
2019-10-02 07:40:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 07:55:00+00:00,0,0,0,88,,0.9777777777777777
2019-10-02 08:10:00+00:00,0,0,0,87,,0.9666666666666667
2019-10-02 08:45:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 09:00:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 09:15:00+00:00,0,0,0,87,,0.9666666666666667
2019-10-02 09:30:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 09:45:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-02 10:00:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-03 13:50:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-03 14:05:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-03 14:50:00+00:00,0,0,0,88,,0.9777777777777777
2019-10-03 15:05:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-03 15:20:00+00:00,0,0,0,89,,0.9888888888888889
2019-10-03 15:35:00+00:00,0,0,0,87,,0.9666666666666667
