,gateway_rssi,gateway_snr,node_rssi,node_snr,node_vcc,payload
2019-10-01 10:45:00+00:00,-54.25,-5.25,-46.5,-5.5,5232.75,58.0
2019-10-01 11:05:00+00:00,-55.5,-5.75,-46.5,-5.5,5232.75,58.0
2019-10-01 12:05:00+00:00,-56.38095238095238,-5.174603174603176,-48.28571428571428,-5.396825396825397,5229.476190476193,58.0
2019-10-01 12:10:00+00:00,-56.89610389610389,-5.01298701298701,-48.67532467532467,-5.480519480519479,5231.53246753247,58.0
2019-10-01 12:15:00+00:00,-56.51948051948052,-5.103896103896105,-48.46753246753248,-5.454545454545457,5228.935064935065,58.0
2019-10-01 12:20:00+00:00,-56.43055555555554,-5.083333333333335,-48.2638888888889,-5.388888888888889,5228.583333333332,58.0
2019-10-01 12:25:00+00:00,-56.173333333333346,-5.186666666666667,-48.16,-5.399999999999998,5226.999999999999,58.0
2019-10-01 12:30:00+00:00,-55.97368421052633,-5.131578947368424,-48.06578947368422,-5.302631578947366,5230.447368421052,58.0
2019-10-01 12:35:00+00:00,-55.91999999999999,-5.106666666666665,-47.90666666666666,-5.306666666666666,5230.666666666667,58.0
2019-10-01 12:40:00+00:00,-55.94805194805195,-5.116883116883117,-47.948051948051955,-5.259740259740257,5229.909090909089,58.0
2019-10-01 12:45:00+00:00,-55.94871794871794,-5.102564102564102,-48.089743589743584,-5.474358974358973,5228.423076923075,58.0
2019-10-01 12:50:00+00:00,-56.01351351351352,-5.14864864864865,-48.13513513513512,-5.324324324324325,5232.91891891892,58.0
2019-10-01 12:55:00+00:00,-55.93589743589745,-5.166666666666668,-47.833333333333336,-5.35897435897436,5233.230769230769,58.0
2019-10-01 13:00:00+00:00,-55.93333333333333,-5.266666666666667,-47.72000000000001,-5.32,5233.333333333334,58.0
2019-10-01 13:05:00+00:00,-55.837837837837846,-5.229729729729729,-47.63513513513513,-5.3108108108108105,5232.581081081081,58.0
2019-10-01 13:10:00+00:00,-55.8961038961039,-5.272727272727274,-47.74025974025973,-5.389610389610391,5234.779220779221,58.0
2019-10-01 13:15:00+00:00,-55.92307692307691,-5.243589743589742,-47.794871794871796,-5.397435897435896,5237.397435897437,58.0
2019-10-01 13:20:00+00:00,-55.906666666666645,-5.226666666666668,-48.0,-5.573333333333333,5236.000000000001,58.0
2019-10-01 13:25:00+00:00,-55.922077922077925,-5.20779220779221,-47.80519480519483,-5.337662337662338,5235.75324675325,58.0
2019-10-01 13:30:00+00:00,-55.948051948051955,-5.20779220779221,-47.63636363636365,-5.363636363636364,5233.480519480522,58.0
